104107,A,2023-07-03 09:25:00,120.3700,120.3700.1,120.3700.2,120.3700.3,100
11168683,A,2023-11-01 05:44:46,128.4393,128.0926,128.5,128.1682,21455
7350226,A,2023-10-18 14:28:14,114.4195,114.7386,114.63,114.9013,30565
5431127,A,2023-08-30 14:00:56,112.2232,112.0451,112.3954,112.2967,21865
12654494,A,2023-09-01 01:15:50,121.2588,120.9484,121.2667,121.0582,113628
15642466,A,2023-08-30 21:05:56,119.9275,119.7782,120.2982,120.0017,7065
6178254,A,2023-08-19 09:03:24,110.9913,110.8821,111.2649,110.9747,38140
1181233,A,2023-11-25 17:58:52,115.773,115.4218,115.9437,115.6841,47056
7984464,A,2023-08-20 12:06:53,119.0677,118.8382,118.972,118.7961,16172
2599088,A,2023-11-23 18:37:54,110.0673,109.9683,109.8187,109.7783,3917
9148689,A,2023-12-08 14:58:18,135.1481,134.9186,135.2527,135.035,24397
8034564,A,2023-10-06 06:06:50,107.0652,107.2931,107.3733,107.4258,11609
14657257,A,2023-07-25 01:12:30,123.945,124.0426,124.4012,124.3395,29372
13495069,A,2023-08-09 21:25:15,106.2598,106.0305,106.4733,106.2917,35153
9028931,A,2023-08-04 17:57:39,111.1623,111.4208,111.2158,111.4083,28886
11182619,A,2023-11-24 19:09:56,108.842,109.0577,108.9167,109.1372,12973
12969909,A,2023-08-14 04:48:56,107.8707,107.8731,107.532,107.6103,14501
5562268,A,2023-11-17 01:01:07,131.925,131.7866,131.6274,131.6741,10893
12030896,A,2023-09-07 21:03:54,132.1217,131.9526,131.7364,131.9629,5384
5199613,A,2023-12-07 06:13:33,121.0459,120.7183,121.0208,120.8865,233
12643638,A,2023-12-04 10:25:15,111.8397,111.9096,112.0461,112.153,20728
